mode,slow_value,trials,fast_wins,fast_win_pct,fast_first_pos_pct,fast_second_pos_pct,p_value,wilson_lo,wilson_hi,duration_sec
iter,0,3000,1476,49.2,95.8,2.6,0.815,0.474,0.51,0.16
iter,500,3000,1545,51.5,97.4,5.6,0.0521,0.497,0.533,0.16
iter,700,3000,1564,52.13,97.53,6.73,0.0102,0.503,0.539,0.16
iter,900,3000,1590,53,98,8,0.00054,0.512,0.548,0.16
iter,1100,3000,1590,53,97.53,8.47,0.00054,0.512,0.548,0.16
iter,1400,3000,1619,53.97,98.33,9.6,7.48e-06,0.522,0.557,0.16
iter,1700,3000,1662,55.4,98.07,12.73,1.79e-09,0.536,0.572,0.16
iter,2000,3000,1756,58.53,98.2,18.87,4.3e-21,0.568,0.603,0.16
iter,2500,3000,1854,61.8,98.27,25.33,9.22e-39,0.6,0.635,0.16
iter,3000,3000,1911,63.7,99.27,28.13,1.02e-51,0.62,0.654,0.16
